id,fecha_venta,producto,cantidad,precio
97,2025-11-04,Webcam HD,3,38000
98,2025-02-04,Mouse Inalámbrico,3,15000
99,2025-05-10,Webcam HD,2,38000
100,2025-12-11,Webcam HD,2,38000
101,2025-09-16,Mouse Inalámbrico,3,15000
102,2025-02-21,Teclado Mecánico,1,45000
103,2025-01-01,"Monitor 24""",3,320000
104,2025-11-09,Teclado Mecánico,2,45000
105,2025-09-23,Mouse Inalámbrico,4,15000
106,2025-01-04,"Monitor 24""",5,320000
107,2025-09-02,Laptop Pro,2,850000
108,2025-09-05,Teclado Mecánico,5,45000
109,2025-01-10,"Monitor 24""",2,320000
110,2025-06-07,Teclado Mecánico,1,45000
111,2025-06-25,Mouse Inalámbrico,1,15000
112,2025-10-24,Webcam HD,4,38000
113,2025-03-26,Mouse Inalámbrico,2,15000
114,2025-01-06,Mouse Inalámbrico,4,15000
115,2025-11-28,Teclado Mecánico,4,45000
116,2025-03-26,Mouse Inalámbrico,3,15000
117,2025-01-28,Laptop Pro,4,850000
118,2025-04-27,"Monitor 24""",2,320000
119,2025-05-27,"Monitor 24""",3,320000
120,2025-01-22,Mouse Inalámbrico,2,15000
121,2025-06-09,Mouse Inalámbrico,4,15000
122,2025-06-21,Laptop Pro,3,850000
123,2025-11-27,Webcam HD,4,38000
124,2025-01-04,Webcam HD,3,38000
125,2025-10-09,Teclado Mecánico,2,45000
126,2025-10-14,Laptop Pro,1,850000
127,2025-07-20,Teclado Mecánico,3,45000
128,2025-07-19,Webcam HD,1,38000
129,2025-01-23,Mouse Inalámbrico,3,15000
130,2025-09-26,"Monitor 24""",1,320000
131,2025-06-14,Webcam HD,2,38000
132,2025-10-11,Laptop Pro,3,850000
133,2025-09-10,Laptop Pro,3,850000
134,2025-07-23,"Monitor 24""",3,320000
135,2025-03-07,Teclado Mecánico,5,45000
136,2025-11-24,"Monitor 24""",4,320000
137,2025-10-10,Mouse Inalámbrico,5,15000
138,2025-01-10,"Monitor 24""",5,320000
139,2025-07-26,Teclado Mecánico,2,45000
140,2025-11-11,Webcam HD,5,38000
141,2025-08-22,"Monitor 24""",4,320000
142,2025-08-26,Mouse Inalámbrico,5,15000
143,2025-05-17,Mouse Inalámbrico,1,15000
144,2025-02-27,Webcam HD,3,38000
145,2025-04-26,Mouse Inalámbrico,3,15000
146,2025-01-02,Mouse Inalámbrico,2,15000
147,2025-10-28,Mouse Inalámbrico,4,15000
148,2025-07-21,Laptop Pro,4,850000
149,2025-12-23,Webcam HD,2,38000
150,2025-07-08,"Monitor 24""",4,320000
151,2025-02-25,Mouse Inalámbrico,1,15000
152,2025-03-26,"Monitor 24""",2,320000
153,2025-01-18,Webcam HD,4,38000
154,2025-08-05,Mouse Inalámbrico,1,15000
155,2025-09-20,"Monitor 24""",5,320000
156,2025-10-27,Teclado Mecánico,4,45000
157,2025-09-15,Webcam HD,4,38000
158,2025-08-09,Mouse Inalámbrico,4,15000
159,2025-09-16,Mouse Inalámbrico,3,15000
160,2025-08-03,Mouse Inalámbrico,3,15000
161,2025-05-11,Teclado Mecánico,2,45000
162,2025-02-05,Teclado Mecánico,5,45000
163,2025-07-23,Mouse Inalámbrico,2,15000
164,2025-02-14,Mouse Inalámbrico,2,15000
165,2025-09-15,"Monitor 24""",3,320000
166,2025-04-27,"Monitor 24""",1,320000
167,2025-10-23,"Monitor 24""",4,320000
168,2025-07-16,Laptop Pro,5,850000
169,2025-05-25,Laptop Pro,3,850000
170,2025-09-24,"Monitor 24""",4,320000
171,2025-04-16,Webcam HD,5,38000
172,2025-07-16,Mouse Inalámbrico,3,15000
173,2025-06-22,Laptop Pro,4,850000
174,2025-08-05,"Monitor 24""",2,320000
175,2025-01-13,Webcam HD,5,38000
176,2025-11-01,Webcam HD,5,38000
177,2025-03-28,Laptop Pro,4,850000
178,2025-01-09,"Monitor 24""",2,320000
179,2025-04-15,"Monitor 24""",3,320000
180,2025-07-09,Teclado Mecánico,3,45000
181,2025-02-16,"Monitor 24""",3,320000
182,2025-01-12,Laptop Pro,5,850000
183,2025-11-02,Mouse Inalámbrico,1,15000
184,2025-04-27,Laptop Pro,2,850000
185,2025-03-08,Laptop Pro,5,850000
186,2025-11-04,Mouse Inalámbrico,4,15000
187,2025-08-23,Webcam HD,2,38000
188,2025-03-20,Teclado Mecánico,3,45000
189,2025-03-10,Webcam HD,1,38000
190,2025-01-10,Laptop Pro,5,850000
191,2025-07-23,Webcam HD,4,38000
192,2025-10-23,Mouse Inalámbrico,1,15000
193,2025-12-25,Mouse Inalámbrico,1,15000
194,2025-02-26,Teclado Mecánico,5,45000
195,2025-06-18,Webcam HD,1,38000
196,2025-02-17,"Monitor 24""",3,320000
197,2025-07-27,Teclado Mecánico,1,45000
198,2025-07-12,"Monitor 24""",1,320000
199,2025-07-06,"Monitor 24""",2,320000
200,2025-10-26,Webcam HD,3,38000
